Frequency,admitance_abs,admitance_r,admitance_i,impedance_abs,impedance_r,impedance_i
150000000,0.0004611131238602323,0.00029755459961921903,0.00035225924152758326,2168.665232575573,1399.4316830217576,-1656.7135707589755
150001000,0.00046111697015865997,0.0002975562409358951,0.00035226288996770874,2168.6471431661307,1399.4160562228938,-1656.7030914283291
150002000,0.00046112081704475925,0.00029755788210899967,0.0003522665392949392,2168.6290512946716,1399.4004255085617,-1656.6926121660845
150003000,0.0004611246645187718,0.00029755952313848373,0.00035227018950962627,2168.610956960189,1399.384790877296,-1656.682132972132
150004000,0.00046112851258094036,0.0002975611640242982,0.0003522738406121226,2168.5928601616747,1399.369152327627,-1656.6716538463652
150005000,0.0004611323612315066,0.0002975628047663939,0.0003522774926027799,2168.57476089812,1399.3535098580883,-1656.6611747886736
150006000,0.0004611362104707129,0.0002975644453647214,0.0003522811454819508,2168.5566591685183,1399.3378634672106,-1656.650695798951
150007000,0.00046114006029880194,0.0002975660858192317,0.000352284799249988,2168.5385549718594,1399.3222131535238,-1656.6402168770876
150008000,0.00046114391071601607,0.00029756772612987535,0.0003522884539072442,2168.5204483071334,1399.3065589155576,-1656.6297380229753
150009000,0.0004611477617225984,0.0002975693662966033,0.00035229210945407263,2168.50233917333,1399.2909007518404,-1656.619259236505
150010000,0.0004611516133187915,0.00029757100631936626,0.0003522957658908264,2168.4842275694386,1399.2752386609006,-1656.608780517568
150011000,0.0004611554655048384,0.0002975726461981147,0.0003522994232178586,2168.4661134944477,1399.259572641266,-1656.5983018660552
150012000,0.0004611593182809823,0.0002975742859327993,0.00035230308143552325,2168.447996947347,1399.243902691462,-1656.5878232818588
150013000,0.0004611631716474665,0.00029757592552337095,0.0003523067405441738,2168.429877927123,1399.228228810016,-1656.5773447648687
150014000,0.0004611670256045341,0.0002975775649697798,0.00035231040054416424,2168.411756432761,1399.2125509954506,-1656.566866314975
150015000,0.0004611708801524288,0.0002975792042719768,0.00035231406143584865,2168.3936324632514,1399.1968692462929,-1656.55638793207
150016000,0.0004611747352913942,0.00029758084342991237,0.0003523177232195813,2168.3755060175795,1399.181183561066,-1656.5459096160444
150017000,0.0004611785910216742,0.0002975824824435371,0.0003523213858957168,2168.357377094728,1399.1654939382913,-1656.5354313667865
150018000,0.0004611824473435127,0.0002975841213128015,0.0003523250494646097,2168.3392456936854,1399.149800376493,-1656.5249531841894
150019000,0.00046118630425715353,0.00029758576003765597,0.0003523287139266149,2168.3211118134345,1399.1341028741906,-1656.514475068142
150020000,0.00046119016176284096,0.0002975873986180509,0.0003523323792820874,2168.3029754529593,1399.1184014299056,-1656.503997018535
150021000,0.0004611940198608192,0.0002975890370539369,0.0003523360455313823,2168.2848366112457,1399.1026960421598,-1656.4935190352592
150022000,0.000461197878551333,0.0002975906753452642,0.0003523397126748554,2168.2666952872733,1399.0869867094684,-1656.483041118204
150023000,0.0004612017378346265,0.0002975923134919833,0.0003523433807128618,2168.248551480027,1399.0712734303531,-1656.4725632672591
150024000,0.0004612055977109447,0.0002975939514940447,0.00035234704964575754,2168.2304051884876,1399.0555562033314,-1656.462085482315
150025000,0.00046120945818053217,0.00029759558935139836,0.0003523507194738985,2168.2122564116366,1399.0398350269188,-1656.4516077632613
150026000,0.00046121331924363395,0.0002975972270639948,0.0003523543901976408,2168.194105148456,1399.0241098996328,-1656.4411301099879
150027000,0.00046121718090049514,0.0002975988646317843,0.00035235806181734084,2168.175951397925,1399.008380819988,-1656.4306525223844
