Freq(Hz),Eq=(1-S11)/(1+S11)(DB),Eq=(1-S11)/(1+S11)(DEG),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
150000000,-32.982162,46.564194,-0.26788855,-1.8669503,-78.77626,107.45768,-94.776703,109.16136,-0.8887291,95.356239
150000937.5,-32.96814,46.684803,-0.26772377,-1.873688,-80.850548,44.911911,-75.060669,36.502598,-0.88919574,95.349701
150001875,-32.965031,46.674313,-0.26787162,-1.874036,-79.094772,-64.161423,-79.673805,-79.985825,-0.88961291,95.346039
150002812.5,-32.95808,46.677891,-0.26806825,-1.8756474,-83.347466,-146.29115,-123.40567,131.74211,-0.89056742,95.348038
150003750,-32.955551,46.770618,-0.26768538,-1.8790519,-79.698853,-7.2221565,-75.917328,-9.4476938,-0.89012814,95.334724
150004687.5,-32.97839,46.654705,-0.26755714,-1.8705511,-83.814476,173.48495,-83.025475,127.15594,-0.88676053,95.320053
150005625,-32.968727,46.64542,-0.26790082,-1.8723474,-85.062859,-163.20502,-84.440056,-68.005234,-0.88919955,95.320625
150006562.5,-32.958714,46.766903,-0.26760656,-1.8782542,-75.517426,-165.73306,-75.974266,10.781239,-0.88859075,95.325272
150007500,-32.982342,46.745777,-0.26698446,-1.8725007,-85.293289,27.677704,-77.707657,-118.07918,-0.88932669,95.303925
150008437.5,-32.937122,46.807354,-0.26807067,-1.8841785,-92.516258,62.394047,-76.684784,-157.65308,-0.88971186,95.301888
150009375,-32.982155,46.740799,-0.26701495,-1.8723881,-75.810127,65.276917,-74.193336,94.004868,-0.89001209,95.293114
150010312.5,-32.967747,46.717739,-0.26757249,-1.8747874,-82.441772,-123.96606,-82.80928,-3.7215481,-0.88871032,95.296844
150011250,-32.973465,46.638325,-0.26778999,-1.8711077,-76.273926,-40.627811,-74.802422,172.11223,-0.89043397,95.297897
150012187.5,-32.937405,46.762238,-0.26828679,-1.8827246,-88.87352,63.685349,-80.433502,158.69785,-0.89013743,95.278473
